MANUEL MARTINEZ     01                                                          
GLENDALIE GONZALEZ  15                                                          
CARLOS RIVERA       09                                                          
MARIA RODRIGUEZ     12                                                          
JOSE SANTIAGO       06                                                          
ANA LOPEZ           15                                                          
LUIS HERNANDEZ      12                                                          
CARMEN TORRES       09                                                          
PEDRO ORTIZ         06                                                          
SOFIA RAMOS         12                                                          
MIGUEL COLON        15                                                          
LAURA VEGA          09                                                          
RAFAEL CRUZ         12                                                          
ELENA MORALES       06                                                          
DAVID FIGUEROA      15                                                          
ISABEL SERRANO      12                                                          
JORGE MENDEZ        09                                                          
PATRICIA REYES      06                                                          
RICARDO DIAZ        12                                                          
NATALIA FLORES      15                                                          
